,id,tweet,subtask_a
245,11411,"@USER Det er hvad der sker, når du lader en liberal få fat i en pistol. Det ville være et godt sted at starte pistolkontrol. Forby liberale mod at få kanoner.",OFF
246,10133,@USER @USER Du ser glad ud. MAGA,OFF
252,29497,@USER Alligevel er hun selv fed.,OFF
257,97300,"@USER @USER @USER Hvilken vittighed! Hun er en perle i orden !! Hun er en racistisk falske! Lige sammen med denne racistiske falske. Den tror, at hun vil følge mig fra sin anden konto. Og bloker mig. Fordi jeg taler sandheden. Jeg kunne pleje mindre om tilhængere. Som det er en stor fest. Jeg er interesseret i, at de diskriminerer URL",OFF
264,14808,"@USER @USER @USER Måske har du glemt, at vi i øjeblikket er EU-borgere, og at alle rettigheder, der tildeles os, er de samme som for andre EU-borgere. Tro ikke på det lort, der foregår i dit hoved.",OFF
268,33322,"@USER @USER Har lige kigget op i sit arbejde Historie, han er opført i bestyrelsen for Leading Age Services Aust (LASA) og kommer fra Medicare Local Alliance ... hvad der i helvede er",OFF
275,87300,"@USER Årsag, hvem tæver der spiller med 😭😭😭😭 gud er ikke give mig gaven for ingenting",OFF
280,80497,"@USER Kommer fra den mand, der truede med at prøve at sparke Turmps røv nu, tager det ikke et sæt kugler",OFF
285,97277,@USER Bliv bange for grim mand?,OFF
290,95200,@USER @USER @USER @USER @USER Tæve .. URL,OFF
291,77769,&amp; terroisme &amp; sult &amp; Flint &amp; fattigdom &amp; klimaændringer &amp; global opvarmning &amp; sexhandel &amp; mobning &amp; kropsskamning &amp; politiets brutalitet &amp; feminisme &amp; pistolkontrol &amp; marcher og protester,OFF
296,62107,@USER ja din tæve til højre får smacket URL,OFF
298,33096,@USER Hahaha STORE lår kommer ikke til det,OFF
300,81470,#maga #christineford # trump2020 #tcot #ccot #AmericaFirst #Patriots @USER #BrettKavanaugh havde dette at sige om Bill Clinton under Whitewater: Det er bydende nødvendigt at gøre hans mønster af oprørende opførsel klar - stykke af smertefuldt stykke. &quot;Faktisk. URL,OFF
301,20322,"#MAGA-folk er meget lav IQ. BNP-vækst &quot;betyder LITTERISK INGENTING. På ingen måde betyder dette noget for højere indkomst for hvide familier eller enkeltpersoner. Alt det milliardbeløb går til virksomheder eller regering. Og hvilke job skabte han? Arbejdskraft, der betaler mindre end den levende løn lmao? URL",OFF
303,60130,"@USER Bro gå og se hvordan han holder sit bagved i interviewet, ligesom det lort var irriterende lmao nigga er gal mistænksom",OFF
304,54559,"En tæve bygget sådan som kunne slå min røv alt, hvad hun ønsker URL",OFF
306,14285,@USER @USER Meget patetisk mand!,OFF
314,42133,@USER @USER @USER @USER @USER @USER Du skal tale om hadefulde konservative.,OFF
315,18834,@USER @USER Det er korrekt !!! #MAGA,OFF
320,38043,"@USER @USER @USER Denne venstreorienterede er hvad der er galt i liberale colleges. Flere ppl og studerende vil komme ud og vil afmække denne korrupte kvinde, der er fast besluttet på at ødelægge en god dommer, fordi hun kun ønsker liberale i domstolene. @USER @USER @USER",OFF
322,76709,@USER @USER @USER @USER Dette er fantastisk! Mark The Great One &quot;Levin og Candace&quot; The Great &quot;Owens sammen! Dette hold er uovervindelig! De sendte lige liberale i en vanvid igen! En hel blok liberale vælgere fik lige deres hoveder til at eksplodere! Og ... desværre Alyssa Milano bare våd hendes bukser igen! Flot hold! &quot;,OFF
323,22728,@USER #StrataData #AI #data #hairball: @USER TDavis turnerer anvendelsen af #Kognitive og #machinelearning teknikker til at fremskynde #Governance af #data URL,OFF
325,11640,"@USER @USER @USER @USER Jeg foreslog ikke skræmmningstaktik. Jeg mente virkelig, hvad jeg sagde. Trump kan nemt trække de gode maga-republikanere og kan let stjæle nok stemmer fra GOP Dem og uafhængige parter og vil bringe vores frossede politik frisk vejr. Tænk over det.",OFF
326,47009,"@USER @USER @USER @USER Kun en liberal ville støtte en liberal, der brugte en MILLION for at få liberale valgt til embedsmand. #LibFAIL! URL",OFF
328,97936,"@USER Det er så underligt ondt og bittert at ekstrapolere fra &#39;alle skal have adgang til anstændigt sundhedsvæsen&#39; til &#39;Venstre mener, at alle kriminelle skal være fri.&#39; Det afslører en temmelig brutalistisk og uigennemtrængelig sind.",OFF
329,12531,@USER Hvad fanden spillet ser du på?,OFF
337,72024,@USER Hvorfor? Hvorfor er liberale så trashy?,OFF
341,98547,"@USER Ja, jeg så dette, og jeg vil sige, at tapper fortsatte med at kurve hende, og hun kom stadig tilbage med dumme svar. Og han gik til sidst op. Jeg tror ikke, han er en stor fan af hendes politik, han er ikke så dum.",OFF
342,98382,"@USER Hvis du går forbi noget andet end han eller hun, er du kneppet i hovedet.",OFF
346,71577,@USER Alt hvad du behøver at vide er at han er tom indeni,OFF
349,17391,@USER De liberale er mentalt ustabile !!,OFF
350,34443,"@USER @USER Hvem autoriserede en søgningsordre for mr Jean hjemme? Racist, hvad med hendes stoftest. Dette er overlagt mord. Han bliver ikke baktalt. Han er offeret.",OFF
362,22185,"@USER @USER @USER jeg har hørt, at han skaber bølger",OFF
370,77089,# TorsdagTanker - FUCK liberale. For evigt.,OFF
372,79972,"@USER Det er endnu engang bevist, at alle våbenkontrollove er beregnet til at afvæbne de lovlydige borgere og undergrave # 2A. Kriminel * er ikke ligeglad med pistollove.",OFF
374,30085,"@USER @USER Mxm nigger synes, vi giver en fuck URL",OFF
375,95773,@USER @USER Hun er en falsk. Stem hende ud. Nu vil hun have sympati.,OFF
377,51053,"10 børn fra forskellige kvinder fra denne amerikanske arbejdsløse mænd? Nigerianske mænd, du er bomben !!!",OFF
381,14131,"@USER Denne russiske agent er en DISGRACE. Hej gammel kryb @USER du skal dø i fængsel. Du og Trump solgte Amerika til russerne, og det er på tide, at du gør tiden til dine år med forbrydelser. Scumbag.",OFF
383,33709,@USER Hvilket sindssygtigt latterligt bullshit.,OFF
385,53995,@USER Vi skulle ikke være overrasket. Disse samme grise arbejdede sammen med neonazier for at afmaske antifa-demonstranter. Og den lokale dækning af lortjournos som @USER dækkede overhovedet ikke det. Vi var nødt til at stole på @USER for URL til undersøgelsesdækning,OFF
389,82171,"@USER @USER Fordi 45% af amerikanerne er for doven til at stemme. Ikke-vælgere skæve liberale. Og for mange liberale, der stemmer, kaster deres stemme bort fra 3. parts tabere. Næste spørgsmål?",OFF
391,50936,"@USER @USER Jeg er sikker på, at han ikke kalder sit indhegnede samfunds private sikkerhedsfirma Bull Connors &quot;dog. Det er sjovt: Nu ELSKER liberaler ELSKER privatisering af politiet!&quot;",OFF
392,97580,@USER @USER Spekulerer på hvor mange børn han malede,OFF
394,54991,"@USER @USER Åh, du er i England? Dine synspunkter på pistolkontrol ophørte med at gøre noget i 1776.",OFF
395,55051,"@USER @USER @USER @USER @USER @USER Dette er ANTIFA-festen og pludselig forventer de, at vi skal tro, at de er interesseret i andre end dem selv. Nix.",OFF
397,23159,@USER Ouch!,OFF
398,58548,"@USER @USER Spekulerer på, om han undskyldte Diamond og Silk for at kalde dem et &quot;minstrel show?&quot; Han skulle have været fyret, men der skaber han ansigter.",OFF
399,41277,"@USER Det er derfor, det er fantastisk, at Kavanaugh ikke rystede den pistolkontrol til fars hånd. Undskyld for barn blev dræbt af en pistol, men det er ikke de fremtidige dommeres skyld, at det skete ...... omg hvide mennesker i byer er fjollet",OFF
400,51592,@USER John Podesta er en spiritus madlavning pedo. Her er et foto af ham og Valerie Jarrett i en ret kompromitterende situation. #MAGA #qanon # DrainTheDeepState #DrainTheSwamp URL,OFF
402,56068,"@USER Jeg elsker den måde, dette irriterer liberale. URL",OFF
404,88585,@USER @USER @USER Min auto rigtige Gggrrr hun er en * skør heks *,OFF
405,14234,"@USER @USER Da jeg vendte talen om, lød det for mig, som Venstre blev et andet grimt parti &quot;med hans personlige angreb på forskellige individer.&quot;",OFF
408,97329,"@USER En anden negativ demokrat, der nægter at forsvinde!",OFF
409,85409,". @ USER Som min valgte MP kan du forklare hvorfor @USER stadig promoverer ideer, som EU allerede har afvist? Vi har 6 måneder tilbage, og intet ser ud til at bevæge sig videre. @USER er som de blinde, der fører de blinde #brexitshambles #BrexitMeansBrexit URL",OFF
412,14118,"@USER Så hun kan ikke blive påvirket af strålingen, men dræbt. Jeg håber, at han nævner Lady Gaga-heks. Da hun er den eneste kendte udødelige heks og den øverste",OFF
414,63792,"(2020-sæsonen) Trump: Min pik er den mest storslåede pik. Bare enorm. Venstrepersoner: bevis det, din russiske dukke! Trump: * pisker pik ud i form af senilitet * Konservative: * stem Trump til sejr *",OFF
416,82293,"@USER @USER @USER @USER Interessant, når Demoncraps ikke engang er opfindelige til at oprette deres egne tegneserier. Dette er oprindeligt udtrykt af republikanere - liberale er Koolaide-drikkerne og har altid været det. Liberale er også afskum af jorden og beviser det dagligt gennem deres løgne",OFF
424,61533,"@USER ajsjjsjdkkdjdk jeg vil have ham så meget, at han bogstaveligt talt ville fortælle mig at dø, og jeg ville adlyde ham",OFF
427,40857,"@USER @USER @USER @USER Han er død. Så du er også en nekrofililiac? Godt at vide ... du skal sutte til skak og huske ikke 3-dimensionel skak ... du kan ikke engang tænke et skridt fremad, for ikke at sige mange ... Skift dit twitterhåndtag til DumbAF, ikke engang ish🙄🙄🙄",OFF
429,23228,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER De får testy og beslutte, at du er en betalt shill &quot;meget, hvis du ender med at hænge omkring QAnon, bliver du vant til det.&quot;",OFF
432,78473,@USER @USER @USER Trump er en meget syg mand. Han er giftig og meningsfuld.,OFF
433,30890,"# VA10-vælgere ved, at @USER er højre side af pistolspørgsmålet. Kanonkontrol eller pistolrettigheder? Svaret kan hjælpe med at bestemme, om NRA-finansieret Rep. Comstock vinder URL til genvalg",OFF
434,92935,@USER #oshaeterry #ThugLife # Criminal Opført som en almindelig engangskriminalitet. #MAGA # MAGA2020 #MAGARally Regler #TexasPolice,OFF
436,86626,@USER @USER Hun er fuld af køje.,OFF
438,18702,@USER Helvede boykottede de McEnroe ..... dette er for meget !!,OFF
440,27045,ANTI-ANTIFA ER BALLER,OFF
442,78567,@USER IM GÅ HARDCORE BITCH,OFF
446,80107,"@USER Jeg plejede at markere abe udenfor. Spillede det for kona, og hun er ligesom hvad fanden?",OFF
449,84294,"@USER Jeg tror, hun er den gale. Hun kunne ikke lide at blive kaldt, så hun prøver at få dem til at mobbe mig. 😆",OFF
451,53037,"@USER @USER @USER så hun er modbydelig for dig, fordi hun er en Rangers-fan! du er modbydelig for mig, fordi du støtter at nedbryde unionen! #proudtobeBritish 🇬🇧",OFF
453,10605,"@USER De skulle. Forhåbentlig er vælgerne klar over, at de kunne have afsluttet dette shitshow godt inden midterstemmen.",OFF
462,93419,"@USER 2018-diagrammer, hun er. Generelt fuck nej. Cardi fik måder at gå for at fange niki",OFF
463,93280,"@USER @USER @USER Jeg tror, jeg savnede et par svar her (jeg er ved et konferencesamtale), men de fleste af de anti-jihadi muslimske dyrlæger, jeg kender, ville være uenige med pistolkontrol. så dette virker underligt ...?",OFF
464,97831,"@USER Se på alle disse racistiske, hvide liberale, der fratter ud, fordi jeg sagde, at Tom Arnold har hvide privilegier.",OFF
465,82366,"@USER Hubby forhastede mig * ryster knytnæve * vil flick et billede igennem denne aften, når jeg foder dem igen. I øvrigt er han stadig chef",OFF
467,70315,@USER @USER OMG !!!! Virkelig !!! #FrankOz ... Liberale ødelægger alt ... #FundPPBS ..,OFF
470,83457,"@USER @USER Wow !!! Troede aldrig, at jeg ville se venstresiden faktisk indrømme, at de vil lukke for ytringsfriheden, medmindre det er deres eget. I det mindste indrømmer de, at de er facisten. De skabte trods alt de 2 mest facistiske grupper ... ANTIFA og KKK.",OFF
471,14877,"@USER Rip lmao der ved 😂 det er derfor, jeg prøver så hårdt på ikke at udsætte mine lort, da de aldrig kan forholde sig alligevel",OFF
472,63762,@USER Bullshit !!!,OFF
475,78739,@USER Jeg føler mig temmelig kneppet da cuz jeg startede fint,OFF
479,33095,@USER Forfærdeligt,OFF
480,50390,"@USER Jeg ved ikke noget om kkk, selvom jeg tror, at demokraterne finansierer dem, som de altid gjorde. Jeg tror, Dems største terrorgruppe i disse dage er antifa.",OFF
483,38444,@USER @USER @USER Hun er absolut ubrugelig. Alle ved det bortset fra hende og medierne.,OFF
485,77647,"@USER Er det ligeglad med nogen, hvad den snavsepose siger ???",OFF
486,30426,@USER @USER IKKE ET SNOWBALLS-KANS I HELL DIMWIT DEM. Begynd på at miste som en mand ..... fejle ... som en .... uhm? Uanset hvad du identificerer som i dag. VI VIL #MAGA IKKE trætte af # vinde se dig i NOVEMBER FOR # REDWAVERISING2018 DU KAN IKKE STOP #ScotusKavenaugh,OFF
491,38806,@USER Forhåbentlig indhenter din fedme dig da,OFF
496,66497,@USER @USER Mine stenede hvedeknækkere! Hvor i helvede lagde de Stoned Wheat Crackers?,OFF
498,95987,"#fordnation #onpoli #Conservatives #Conservative #onpc Bare fordi du kan, betyder det ikke, at du burde. Stor magt kommer med stort ansvar. Ved at påberåbe sig kunst. 33 og tilsidesætter vores retslige processer, tilsidesætter du vores demokrati. URL",OFF
501,36795,@USER Tak for din styrke og udholdenhed. Giv McConnell et spark i ryggen fra nogle af os konservative.,OFF
506,21223,@USER YESSSSSHHHH der ellers kalder dig shitgull hvis det ikke var mig eller ryme 😚,OFF
510,25469,@USER Hun er en af disse &#39;koky&#39; liberale.,OFF
511,74815,@USER Ligesom hvis du ikke fik fyret fra ESPN,OFF
514,67895,"@USER de studerende, der ikke er traumatiseret af at have live shooter-øvelser eller blive distraherede af frygt for at blive dræbt i skolen, gør allerede deres bedste. Send DIT barn til en af disse skoler, så kan vi muligvis få noget at gøre med pistolkontrol. Hykler.",OFF
515,99912,@USER @USER Fattige triste liberale. Intet håb for dem.,OFF
516,69106,Jeg fik mere sund fornuft end alle mine følgere :),OFF
517,47490,"@USER CBS sez administrerende direktør Leslie Moonves &#39;ud på hans røv efter flere beskyldninger om, at han jagede røv ... COO Joseph Iannello vil være midlertidig administrerende direktør, indtil nogen beskylder ham for den samme ting ... Denne&#39; lort &#39;slutter aldrig ... Oops ...",OFF
521,77519,"@USER Selv hvis djævelen fik hver eneste af disse præster til at voldtage børn ... Hvorfor nægter paven at fordømme det? Hvorfor fjernede han ikke lederskabet, som voldtektsmanden bragte ham?",OFF
523,20232,"@USER Jeg tweetede ikke denne lol, jeg har brug for at få min Twitter væk fra det",OFF
529,32990,"@USER Det er hun. Ur skruet. Trump ejer scotus, og han vil udråbe en vrede over fjender efter mellemstopperne",OFF
532,64626,@USER HAUL DIN FED ASS I HARMS MÅDE DU DRUGGIE !!!,OFF
546,39729,"@USER @USER Enhver kan sige eller skrive noget om sig selv. Antag, at hun i morgen siger, at hun er en profet, og at menneskelig race skal følge hende. Hvad fortæller det om hende? Når jeg først ser nogen som ubrugelig mor, holder jeg op med at give dem nogen opmærksomhed. Du gør den samme bror. Hun er ingen.",OFF
551,46114,"@USER det er så cool, at den blinde idiotgud &quot;koncept allerede er en rigtig ting fra en religion, der er tusinder af år gammel, men befolkningen har det, for at gøre det til en skide cthulhu-reference for retard cred&quot;",OFF
554,93056,@USER @USER Han er vildfarende!,OFF
557,32139,"@USER Rezz er en stum tæve, der får en uhøflig opvågning fra BNF i Mexico lol URL",OFF
558,59690,Alert: Candace Owens blev netop angrebet af Antifa URL,OFF
562,23311,"@USER En anden dum demokrat. Én ting, du har at sige om denne præsident, er, at han ikke er doven. En anden bullshit-historie som sædvanlig",OFF
566,33600,"@USER @USER, når robyn poster en selfie, stopper verden et øjeblik for at værdsætte det",OFF
567,79122,"@USER @USER @USER Demokraterne er så desperate, at alle de ppl truende Sen Collins er fra CA. De vil gøre alt for at forsinke eller stoppe bekræftelsen, og @USER genvalg er på den linje, hun er desperat. Ppl &amp; GOP er helt klar over, hvad der foregår.",OFF
570,58576,"@USER Så det bevæger sig fremad. Fandt fakta, så længe du holder fortællingen op! Den farlige linje er den glidende skala, som I en masse liberale idioter bruger til at ødelægge de konservative eller retfærdiggøre de liberale handlinger",OFF
573,70525,"@USER Stakkels baby. Dette er grunden til, at du og hele dit netværk IKKE kan stole på. De eneste mennesker, der stadig ser CNN, er hjernevasket liberale og demonrater. URL",OFF
580,69004,@USER @USER (Hun er klart ophidset i en defensiv holdning) Shit - hvad laver hun her,OFF
584,28518,@USER Så bliver du bidt,OFF
590,77529,@USER Woodwords bog er bagvaskelse. Han er intet andet end et klovneværktøj!,OFF
591,42005,@USER Hvor mange flere ??? Dette land SKAL adressere fornuftig pistolkontrol! Dette er mere end nok !!! STEM BLÅ! FÅ DETS Søppel RENGØRET VORES Gader!,OFF
592,25305,"@USER Det ser ud til at være parret med et WOO-HOO, så han må tro, at han er på vej til et bordel.",OFF
593,70652,@USER @USER @USER Hun er mentalt ustabil.,OFF
594,60071,@USER-karakter og Clinton. Måske tegneserie,OFF
597,12602,"@USER @USER @USER @USER @USER @USER @USER @USER @USER Jeg kan godt lide at de ikke samles med hende. Jeg forstår ikke, hvorfor hun nægter at lave porno.",OFF
599,35933,@USER @USER @USER @USER @USER FEMA har kontaktet senatoren og blev fortalt. trusser og fortæl sandheden! &quot;,OFF
600,66631,"@USER Men jeg troede, Antifa var faktisk fascister, men dette viser, at Rethuglicans er de faktiske fascister i rummet.",OFF
602,70446,"@USER @USER @USER @USER @USER @USER @USER @USER @USER Så absurd. Venstre har felt voldelige feminister og kommunister i form af Antifa for at angribe den meget fredelige magtovergang i mere end to år. Jeg spekulerer på, om det nogensinde vil opstå for dig, at du er de slemme fyre? Jeg tvivler på, at du har den moralske styrke.",OFF
604,26783,Nogen overrasket? @USER #CloserNation #MAGA #QAnon URL,OFF
607,49939,@USER Ikke hvis du er fra Wisconsin. Og det er en bobler. Og andand gås.,OFF
